"","days","Name","Past","Pres","Fcast"
"456",2019-01-05,"SiouxFalls",5.39,6.527,8.384
"457",2019-01-05,"Spokane",7.599,8.293,10.173
"458",2019-01-05,"Springfield",9.023,9.881,11.593
"459",2019-01-05,"SpringfieldMO",10.83,11.581,13.387
"460",2019-01-05,"Tampa",20.831,22.39,25.458
"461",2019-01-05,"Topeka",9.494,10.751,12.311
"462",2019-01-05,"Valentine",6.54,7.738,10.114
"463",2019-01-05,"WashingtonDC",11.664,12.799,15.826
"464",2019-01-05,"Williston",3.889,4.52,5.673
"465",2019-01-05,"Winnemucca",8.08,8.685,11.041
"466",2019-01-06,"Abilene",15.08,15.619,17.278
"467",2019-01-06,"Albany",6.984,8.197,10.31
"468",2019-01-06,"Albuquerque",11.446,12.562,14.679
"469",2019-01-06,"Amarillo",11.796,12.552,13.576
"470",2019-01-06,"Atlanta",14.045,15.379,18.063
"471",2019-01-06,"Augusta",14.933,15.775,18.593
"472",2019-01-06,"Baltimore",10.496,11.293,13.337
"473",2019-01-06,"Bismarck",3.723,5.174,6.709
"474",2019-01-06,"Boise",8.904,10.024,12.346
"475",2019-01-06,"Boston",9.196,9.841,11.978
"476",2019-01-06,"CedarRapids",6.873,7.202,8.337
"477",2019-01-06,"Charlotte",13.486,14.03,16.721
"478",2019-01-06,"Chattanooga",12.859,14.294,16.927
